Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
Edge Technology Power,edge technology power,https://www.edgetechnology.co.uk/,edgetechnology.co.uk,United Kingdom,"Active private limited company (Edge Technology Power Ltd, 05242175)","Industrial generator sales, installation and repair",enquiries@edgetechnology.co.uk,Power enquiries team,General business inbox; director Michael Harold John Barry verified,01270 306822,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/edge-technology-power,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/edge-technology-power/,Created — draft ID r2893288433810546545; message ID 19fd37759428d9e5; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,92,Strong,Primary opportunity: Generator fault and project-intake triage. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd37759428d9e5
Air Compressors & Equipment Ltd,air compressors  equipment ltd,https://www.aircompressorequipment.co.uk/,aircompressorequipment.co.uk,United Kingdom,Active private limited company (05375081),"Compressed-air equipment, service and hire",info@aircompressorequipment.co.uk,Compressed-air service team,General business inbox; active directors publicly listed,0808 304 8186,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/air-compressors-equipment,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/air-compressors-equipment/,Created — draft ID r2896444374622729521; message ID 19fd3771d9374738; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,91,Strong,Primary opportunity: Compressed-air fault qualification. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd3771d9374738
Portcullis Site Services,portcullis site services,https://www.portcullis-site-services.co.uk/,portcullis-site-services.co.uk,United Kingdom,Active private limited company (08152218),Industrial doors and loading-bay equipment,enquiries@portcullis-site-services.co.uk,Service and projects team,General business inbox,+44 (0)1484 602563,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/portcullis-site-services,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/portcullis-site-services/,Created — draft ID r9212594075180672014; message ID 19fd377dd32ff6e3; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,90,Strong,Primary opportunity: Industrial-door and loading-bay fault routing. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd377dd32ff6e3
Loading Bay Service,loading bay service,https://rampsales.co.uk/,rampsales.co.uk,United Kingdom,Active private limited company (04597156),"Loading-bay design, supply and service",info@rampsales.co.uk,Loading-bay projects team,General business inbox; director details publicly filed,01902 846193,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/loading-bay-service,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/loading-bay-service/,Created — draft ID r-8796315638826207445; message ID 19fd377bcd557c54; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,89,Strong,Primary opportunity: Loading-bay survey qualification. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd377bcd557c54
The Racking Installation Company,the racking installation company,https://www.rackinginstallationcompany.co.uk/,rackinginstallationcompany.co.uk,United Kingdom,Active private limited company (05199607),"Warehouse racking installation, inspection and repair",info@rackinginstallationcompany.co.uk,Racking projects team,General business inbox; director Steven Tsang verified,0845 450 9223,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/racking-installation-company,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/racking-installation-company/,Created — draft ID r-1919525191013008667; message ID 19fd377fbdaa12bf; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,90,Strong,Primary opportunity: Racking project and damage intake. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd377fbdaa12bf
Independent Forklift Services (Midlands),independent forklift services midlands,https://www.iforklifts.co.uk/,iforklifts.co.uk,United Kingdom,Active private limited company (09793334),"Forklift repair, service and support",info@iforklifts.co.uk,Forklift service team,General business inbox,07990 725988,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/independent-forklift-services,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/independent-forklift-services/,Created — draft ID r3662207533451373781; message ID 19fd3777efd02f78; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,86,Moderate,Primary opportunity: Forklift breakdown triage. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd3777efd02f78
Capital Water Treatment,capital water treatment,https://www.capitalwater.co.uk/,capitalwater.co.uk,United Kingdom,Active private limited company (02781475),Water-treatment equipment and maintenance,sales@capitalwater.co.uk,Water-treatment sales team,Sales inbox; active directors publicly listed,+44 208 649 9503,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/capital-water-treatment,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/capital-water-treatment/,Created — draft ID r4904463641980450323; message ID 19fd37743a1a8fa8; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,93,Strong,Primary opportunity: Water-treatment project and service qualification. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd37743a1a8fa8
SRC Catering Services,src catering services,https://www.srccateringservices.co.uk/,srccateringservices.co.uk,United Kingdom,"Trading business; public company listing found, exact legal entity not independently confirmed in this run",Commercial catering equipment repair and service,service@srccateringservices.co.uk,Commercial kitchen service team,Verified service inbox,01689 661167,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/src-catering-services,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/src-catering-services/,Created — draft ID r8171321095541095765; message ID 19fd3782aa4844b3; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,87,Moderate,Primary opportunity: Commercial kitchen breakdown triage. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd3782aa4844b3
J Child Commercial,j child commercial,https://www.jchildcommercial.co.uk/,jchildcommercial.co.uk,United Kingdom,"Active private limited company (J Child Mechanical Plumbing Gas Ltd, 09024745)","Commercial boilers, plant rooms and mechanical services",info@jchildplumbing.co.uk,Commercial mechanical team,Verified general inbox,01462 413413,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/j-child-commercial,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/j-child-commercial/,Created — draft ID r2426443462467031443; message ID 19fd3779e2ccd978; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,90,Strong,Primary opportunity: Commercial boiler and plant-room intake. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd3779e2ccd978
Shield Pest Management,shield pest management,https://shieldpest.co.uk/,shieldpest.co.uk,United Kingdom,Trading name publicly associated with Shield Environmental Solutions (Selby) Ltd; exact current legal mapping should be confirmed before sending,Commercial pest management and audit compliance,info@shieldpest.co.uk,Commercial pest management team,Verified general inbox,01757 212727,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/shield-pest-management,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/shield-pest-management/,Created — draft ID r-4967019704531565386; message ID 19fd37810da03ff0; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,88,Strong,Primary opportunity: Audit-ready commercial contract onboarding. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd37810da03ff0
